t,range
275.618,0.3905599518760542
275.818,0.37597142040940534
275.918,0.3542576184422502
276.118,0.3817853137496815
276.218,0.3780328099471633
276.318,0.38223166326938246
276.518,0.3691374036806823
276.618,0.33382724002445385
276.718,0.3591578795728355
276.818,0.36852083798176205
276.918,0.3840656593396606
277.018,0.36293488955343556
277.218,0.37125465464824187
277.318,0.348390871696069
277.518,0.3627380816036808
277.618,0.3643302712786849
277.718,0.39759144606329844
277.918,0.3613864309014422
278.018,0.36855039948372637
278.118,0.3802912119170688
278.219,0.37659204248597256
278.418,0.347573757176596
278.618,0.33508260535724405
278.718,0.3316687107740541
278.818,0.3381089456980219
279.018,0.3488251551036201
279.118,0.3174137055163687
279.318,0.29757250042434596
279.418,0.28257618894139624
279.518,0.3070501101239763
279.718,0.3003411746724537
279.818,0.3273082163763439
280.018,0.3217108887513056
280.118,0.3111936674585492
280.218,0.3215898289311576
280.418,0.30553475213206294
280.518,0.32296377956594136
280.718,0.30682516287647865
280.818,0.3178177935398059
280.918,0.3288242354002577
281.118,0.29076755285638184
281.218,0.2908423027594559
281.318,0.32635700196739337
281.518,0.32542972010136817
281.618,0.3071815070847511
281.818,0.316103204624388
281.918,0.314035225440685
282.118,0.309582106657711
282.218,0.323606249840566
282.318,0.3127721113689397
282.518,0.28500315479255184
282.618,0.283849254122245
282.818,0.33416570068405
282.918,0.30391110383345465
283.018,0.2947230428470342
283.118,0.31978900872199617
283.218,0.32393933867861624
283.318,0.29619197649783774
283.518,0.2703175040474197
283.618,0.2973102949296927
283.718,0.29198293512101847
283.918,0.29854546513067537
284.018,0.23089642223884638
284.118,0.21422057047625753
284.218,0.19718170799583945
284.318,0.2002651682380139
284.419,0.1571716022681487
284.618,0.11218413215065677
284.718,0.12118013344175657
284.918,0.05147156978299467
285.018,0.05533026185163713
285.118,0.07245148258799748
285.318,0.047785714043008576
285.418,0.07001384861115648
285.618,0.03748262610488928
285.718,0.049454689598322055
285.818,0.04047834920858251
286.018,0.05120912145476439
286.119,0.03954290604712646
286.318,0.0652046521740813
286.418,0.05039829121744066
286.518,0.06714231324305261
286.718,0.05122196087677379
286.818,0.04571175729144027
286.918,0.053532390078205656
287.118,0.03153257291450626
287.218,0.03959737968388853
287.318,0.057854167607961436
287.418,0.07374575010093588
287.518,0.08123064481243772
287.618,0.07753762663891958
287.818,0.06927543858034403
287.918,0.07604562982251954
288.018,0.07407980060435677
288.218,0.09594805531049097
288.419,0.1061341273634934
288.518,0.09602514112964469
288.618,0.13896823600187674
288.818,0.15072767889826563
288.918,0.16648151748427759
289.118,0.19512037810073585
289.218,0.2723882021699161
289.318,0.35450905312832015
289.518,0.4331121476670337
289.618,0.42423428857009654
289.718,0.43240648372237467
289.918,0.4340508403137936
290.018,0.43627450053906286
290.118,0.4183146830731644
290.218,0.41998702915145497
290.318,0.4320692409873303
290.418,0.4152401545864391
290.518,0.4001699060687991
290.618,0.4222371429034925
290.718,0.40711956966114066
290.818,0.41017414972777816
291.018,0.41123460544652535
291.118,0.38245866752510216
291.318,0.3316921383947008
291.418,0.3238619106510116
291.618,0.31004752964642696
291.718,0.2870614191717112
291.818,0.31047268274950146
291.918,0.32563958737777127
292.018,0.2851181212675441
292.118,0.27515626101679364
292.218,0.2822493425409365
292.318,0.28550141890380154
292.418,0.2809146469586021
292.518,0.28907948163671315
292.718,0.2936253924778871
292.818,0.29893722415993706
292.918,0.28794301902262764
293.018,0.2787925332542608
293.118,0.2984228111565817
293.218,0.29503365075909455
293.319,0.3113932834201677
293.518,0.3500027868933808
293.618,0.3277714186770241
293.718,0.36195925547333296
293.818,0.35028782233264927
293.918,0.3680085974356222
294.119,0.4014936918844052
294.218,0.4399632469632943
294.318,0.41985110953434956
294.418,0.429577030469917
294.518,0.4331423067144392
294.718,0.4403471048251234
294.818,0.42105226566020143
294.918,0.11750629231023688
295.018,0.1582832503943031
295.118,0.1324996175769526
295.218,0.17770762077411867
295.318,0.23810818208809906
295.518,0.42742179366736954
295.618,0.4267988393096629
295.718,0.42024198381448913
295.918,0.4269880621545387
296.018,0.41041046972614115
296.118,0.41319468434523887
296.218,0.4289564789480352
296.318,0.42329201422306945
296.518,0.4159168303013404
296.618,0.42848149088296933
296.718,0.4245247004978771
296.918,0.4252345371987386
297.018,0.42368295054803606
297.118,0.424310268673852
297.218,0.4162122629690075
297.318,0.42698136264745756
297.418,0.4312653242159998
297.618,0.41453312841062606
297.718,0.41948446826846264
297.818,0.42369651228640276
297.918,0.42043034953887654
298.018,0.4408527212312119
298.118,0.4051269564098105
298.318,0.43201133229520866
298.418,0.4085919284391136
298.518,0.426672929692381
298.718,0.42766254304195667
298.818,0.39133715581530226
299.018,0.4291249216319246
299.118,0.41771034563575443
299.218,0.38605599658840095
299.418,0.34879788391741484
299.518,0.3434451846123217
299.618,0.3046522722655794
299.818,0.27896428700530423
299.918,0.2847940311439046
300.118,0.25690052227949733
300.218,0.2569401561566571
300.418,0.24761358808545353
300.518,0.22480484368580556
300.618,0.21719133446960034
300.818,0.233375215833208
300.918,0.24423440809637142
301.019,0.25334063677300134
301.218,0.2671368996369751
301.318,0.24814585896387487
301.518,0.24402184632729573
301.618,0.28615682863129743
301.718,0.2817239186145337
301.918,0.28259000703065895
302.018,0.2987114630995041
302.218,0.3160373092285836
302.318,0.432666131786876
302.418,0.44153381262639874
302.618,0.4188399577435559
302.718,0.427329488702634
302.918,0.421990804147206
303.018,0.4289168141810601
303.218,0.428487737692358
303.318,0.4036290634336875
303.418,0.39230539286206023
303.618,0.38760693656997747
303.718,0.3760478431620911
303.918,0.4155237757039942
304.018,0.43063110973534585
304.118,0.42171922894538516
304.318,0.43438253746902766
304.418,0.4236237986107903
304.518,0.4242473231860444
304.618,0.4404778883743201
304.718,0.4198272325493513
304.818,0.41930657001246274
305.018,0.42458859275780664
305.118,0.418615053131169
305.218,0.4399410613165479
305.418,0.4463973626679111
305.518,0.44764558796681664
305.618,0.4178878752751707
305.818,0.42208785882929706
305.918,0.41100343655430976
306.018,0.4383515345598322
306.118,0.42574184010984867
306.218,0.4258643025101833
306.318,0.437399566259485
306.518,0.41372170896377686
306.618,0.4160690651375378
306.718,0.42070825190049393
306.818,0.4350100212348439
306.918,0.4369074599394977
307.018,0.4395718614793768
307.218,0.4253479084518387
307.318,0.4265616426586353
307.418,0.4402905526532792
307.618,0.4376182410306148
307.718,0.42873769542490525
307.818,0.4255358024934999
307.918,0.42566675739452237
308.018,0.40858490850761986
308.118,0.4228822828836175
308.218,0.4210929346026996
308.318,0.4338086284365718
308.418,0.41528867716914325
308.618,0.4300705543707132
308.718,0.4357675991857156
308.818,0.4329133044615401
309.018,0.41396586003485125
309.118,0.4356056038299094
309.318,0.4241996741421842
309.518,0.11694277538419953
309.718,0.14735446959771153
309.818,0.19252917502734002
309.918,0.24553338704701566
310.118,0.4477625654218065
310.218,0.42479036130087156
310.418,0.4344017526921302
310.518,0.43145431028639136
310.619,0.42857753811381155
310.818,0.4243040329235868
310.918,0.4237604517508865
